Country/Territory,IMF,IMF,World Bank,World Bank,CIA,CIA
Country/Territory,Projection,Year,Estimate,Year,Estimate,Year
Singapore *,"156,755",2025,"141,500",2023,"106,000",2021
Luxembourg *,"152,915",2025,"143,342",2023,"115,700",2021
Liechtenstein *,—,—,—,—,"139,100",2009
Macau *,"134,042",2025,"113,183",2023,"64,800",2021
Ireland *,"134,000",2025,"127,623",2023,"102,500",2021
Monaco *,—,—,—,—,"115,700",2015
Qatar *,"121,605",2025,"121,125",2022,"92,200",2021
Bermuda *,—,—,"106,866",2022,"80,300",2021
Norway *,"107,892",2025,"104,460",2023,"65,700",2021
Switzerland *,"97,581",2025,"92,980",2023,"71,000",2021
Brunei *,"95,758",2025,"86,446",2023,"60,100",2021
Guyana *,"94,258",2025,"55,263",2023,"21,900",2021
United States *,"89,105",2025,"81,695",2023,"63,700",2021
Cayman Islands *,—,—,"85,168",2022,"67,500",2021
Isle of Man *,—,—,—,—,"84,600",2014
Denmark *,"88,934",2025,"76,688",2023,"58,000",2021
Netherlands *,"84,566",2025,"78,215",2023,"56,600",2021
Taiwan *,"84,082",2025,—,—,"47,800",2019
San Marino *,"83,031",2025,"65,718",2021,"56,400",2020
United Arab Emirates *,"81,676",2025,"83,903",2023,"69,700",2021
Iceland *,"81,215",2025,"77,567",2023,"53,600",2020
Faroe Islands *,—,—,"76,567",2022,"40,000",2014
Hong Kong *,"77,942",2025,"71,482",2023,"60,000",2021
Malta *,"76,705",2025,"62,446",2023,"44,700",2021
Belgium *,"75,846",2025,"70,456",2023,"51,700",2021
Sweden *,"74,902",2025,"70,207",2023,"53,600",2021
Austria *,"74,372",2025,"73,751",2023,"54,100",2021
Germany *,"72,599",2025,"69,338",2023,"53,100",2021
Falkland Islands *,—,—,—,—,"70,800",2015
Australia *,"72,138",2025,"69,115",2023,"49,800",2021
Andorra *,"72,059",2025,"71,588",2023,"49,900",2015
Bahrain *,"67,795",2025,"63,848",2023,"49,400",2021
Finland *,"66,496",2025,"65,061",2023,"48,800",2021
Canada *,"65,707",2025,"61,582",2023,"47,900",2021
France *,"65,626",2025,"61,157",2023,"45,000",2021
South Korea *,"65,112",2025,"54,033",2023,"44,200",2021
Cyprus *,"65,088",2025,"57,101",2023,"41,700",2021
European Union *,"64,545",2025,"60,349",2023,"44,100",2021
United Kingdom *,"63,661",2025,"58,906",2023,"45,000",2021
Gibraltar *,—,—,—,—,"61,700",2014
Italy *,"63,076",2025,"58,755",2023,"41,900",2021
Saudi Arabia *,"61,923",2025,"54,992",2023,"44,300",2021
Czech Republic *,"59,368",2025,"53,817",2023,"40,700",2020
Jersey *,—,—,—,—,"56,600",2016
Slovenia *,"57,985",2025,"54,948",2023,"40,000",2021
Lithuania *,"57,196",2025,"51,877",2023,"39,300",2021
Spain *,"56,555",2025,"52,779",2023,"37,900",2021
Israel *,"56,436",2025,"53,434",2023,"42,100",2021
New Zealand *,"55,450",2025,"54,110",2023,"42,900",2021
Poland *,"55,186",2025,"49,464",2023,"34,900",2021
Japan *,"54,677",2025,"50,207",2023,"40,800",2021
Guernsey *,—,—,—,—,"52,500",2014
Sint Maarten (Dutch part) *,—,—,"51,527",2023,"35,300",2018
Croatia *,"51,442",2025,"45,910",2023,"31,600",2021
Kuwait *,"50,961",2025,"56,386",2023,"43,900",2020
Aruba *,"50,896",2025,"45,236",2022,"38,900",2021
Portugal *,"50,037",2025,"48,759",2023,"33,700",2021
Puerto Rico *,"50,772",2025,"47,700",2023,"32,600",2021
Estonia *,"49,671",2025,"48,992",2023,"38,700",2021
Russia *,"49,383",2025,"44,104",2023,"27,500",2022
Romania *,"49,213",2025,"47,903",2023,"30,800",2021
Hungary *,"48,600",2025,"45,942",2023,"33,600",2021
U.S. Virgin Islands *,—,—,"46,238",2021,"37,000",2016
